id,,regimen,sex,period,ALBUMIN,ALKPHOSPH,SGPTALT,SGOTAST,TOTBILI,BUN,CALCIUM blood,CREAT blood,GAMMAGT,Glycemia,PHOSPH blood,TOTPROT,DIRBILI,SODIUM Sang,POTASSIUM Sang,CHLORIDE Sang,GLOBULINE,AGRATIO,GRAVITY,GLUCOSE,BILI,KETONE,BLOOD,PH,PROT,UROBILI,PTSEC,APTTSEC,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,ABSNEUT,ABSLYMPH,ABSMONO,ABSEOS,ABSBASO,ABSLUC,NEUT,LYMPH,MONO,EOS,BASO,LUC,CALCIUM,CREAT,UPROT,PHOSPH,SODIUM,POTASSIUM,CHLORIDE,NAKRATIO,CREATCLEARANCE,VOLTOTAL,TERMINALBODYWEIGHT,ADRENAL,HEART,LIVER,TESTIS,BRAIN,KIDNEY,SPLEEN,OVARY
3,3,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511.4,0.064,1.931,15.042,3.636,2.125,4.023,0.871,NA
4,4,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.3,0.053,1.921,14.4,3.459,2.334,4.012,0.808,NA
5,5,reference2,M,1,4.1,135,44,100,0.2,17.2,9.8,0.3,0,104,7.2,6.3,0.1,145,4.9,98,2.2,1.86,1.048,0,0,15,0,7,100,0.2,NA,NA,10.7,9.25,16.5,48.4,52.4,17.9,34.1,806,1.41,8.66,0.28,0.17,0.06,0.12,13.2,81,2.6,1.6,0.5,1.2,5.4,139.7,186,219.8,88,269.5,128,0.33,0.65,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,reference2,M,2,4.1,90,59,83,0.2,17.3,10.5,0.6,0.001,164,11.3,6.3,0.001,144,9.2,99,2.2,1.86,1.056,0,0,15,3,6.5,100,0.2,12,12.3,6.6,8.74,14.9,44.1,50.4,17,33.7,740,0.91,5.2,0.25,0.05,0.07,0.13,13.7,78.7,3.8,0.8,1,2,7.4,214.9,138,208.9,29,253,69,0.11,0.21,3.5,421.5,0.062,1.443,12.188,3.456,2.231,3.442,0.698,NA
6,6,reference2,M,1,4.1,135,44,100,0.2,17.2,9.8,0.4,0,104,7.3,6.3,0.1,146,5,99,2.2,1.86,1.035,0,0,15,0,6.5,30,0.2,NA,NA,11.84,8.66,15.5,44.9,51.9,17.9,34.5,981,0.78,10.56,0.25,0.12,0.06,0.07,6.6,89.1,2.1,1.1,0.5,0.6,6.5,108.7,121,164.3,38,182.5,69,0.21,0.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,reference2,M,2,4.1,70,35,73,0.21,22.3,11.2,0.6,0.001,236,11,6.5,0.1,150,7.2,104,2.4,1.71,1.034,0,0,15,0,7,30,0.2,14.3,20.1,6.28,8.71,14.9,43.7,50.2,17.1,34.1,1079,0.63,5.21,0.15,0.1,0.04,0.15,10,83,2.4,1.5,0.7,2.4,2.9,131.7,109,123.4,30,175,54,0.17,0.24,8,511.2,0.071,1.73,14.562,3.95,2.348,4.104,0.809,NA
7,7,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536.5,0.09,1.798,16.603,3.452,2.286,4.505,0.874,NA
8,8,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526.7,0.058,1.918,15.872,3.675,2.242,4.127,0.835,NA
9,9,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.8,0.062,1.802,13.331,3.389,2.28,4.043,0.938,NA
